#SampleID,Year,Month,Day,YYYYMMDD,Location,Time,Salinity,Temperature,SecchiDepth,Tide,O2_%,O2_mgL,Vol_Filtered,Rain_3d_prior,Size_fraction
C1,2017,7,18,20170718,Piermont,9:30,4.2,26.7,58,low,92.9,7.2,536,NA,Pfree
W2,2017,8,7,20170807,Piermont,11:41,6.51,23.6,45,low,89.6,7.3,563,NA,Pfree
C2,2017,7,18,20170718,Piermont,9:30,4.2,26.7,58,low,92.9,7.2,536,NA,Pfree
S1,2018,2,26,20180226,Piermont,11:02,0.85,3.7,38,low,98.4,13,320,NA,Total
A1,2017,6,6,20170606,Piermont,10:44,2.5,18,35,NA,92.8,8.6,782,Y,Total
K1,2018,6,19,20180619,Piermont,10:31,8.3,24.2,35,low,89.5,7.4,460,Y,Total
G2,2017,7,5,20170705,Piermont,9:32,1.3,25.8,50,high,NA,NA,507.19,N,Pfree
I2,2017,10,11,20171011,Piermont,10:45,9.67,22,54,low,82.4,6.9,600,N,Total
A2,2017,6,6,20170606,Piermont,10:44,2.5,18,35,NA,92.8,8.6,782,Y,Total
Q2,2017,6,27,20170627,Piermont,9:59,2.3,23.6,NA,low,NA,NA,900,N,Total
V2,2017,10,11,20171011,Piermont,10:45,9.67,22,54,low,82.4,6.9,155,N,Pfree
X2,2017,11,16,20171116,Piermont,10:41,7.46,11.5,40,high,87.7,9.1,400,Y,Pfree
U1,2017,7,25,20170725,Piermont,9:40,4.2,24.9,35,high,89.4,7.3,820,Y,Total
T1,2018,6,19,20180619,Piermont,10:31,8.3,24.2,35,low,89.5,7.4,290,Y,Pfree
Z2,2018,6,21,20180621,Piermont,10:41,8.05,24.6,47,low,95.4,7.5,300,Y,Pfree
Y2,2017,7,18,20170718,Piermont,9:30,4.2,26.7,58,low,92.9,7.2,580,NA,Total
W1,2017,8,7,20170807,Piermont,11:41,6.51,23.6,45,low,89.6,7.3,563,NA,Pfree
G1,2017,7,5,20170705,Piermont,9:32,1.3,25.8,50,high,NA,NA,507.19,N,Pfree
K2,2018,6,19,20180619,Piermont,10:31,8.3,24.2,35,low,89.5,7.4,460,Y,Total
S2,2018,2,26,20180226,Piermont,11:02,0.85,3.7,38,low,98.4,13,320,NA,Total
I1,2017,10,11,20171011,Piermont,10:45,9.67,22,54,low,82.4,6.9,600,N,Total
V1,2017,10,11,20171011,Piermont,10:45,9.67,22,54,low,82.4,6.9,155,N,Pfree
Q1,2017,6,27,20170627,Piermont,9:59,2.3,23.6,NA,low,NA,NA,900,N,Total
X1,2017,11,16,20171116,Piermont,10:41,7.46,11.5,40,high,87.7,9.1,400,Y,Pfree
D1,2017,7,11,20170711,Piermont,10:34,4.4,25.3,NA,high,99.2,7.8,421.6,N,Pfree
U2,2017,7,25,20170725,Piermont,9:40,4.2,24.9,35,high,89.4,7.3,820,Y,Total
Y1,2017,7,18,20170718,Piermont,9:30,4.2,26.7,58,low,92.9,7.2,580,NA,Total
D2,2017,7,11,20170711,Piermont,10:34,4.4,25.3,NA,high,99.2,7.8,421.6,N,Pfree
T2,2018,6,19,20180619,Piermont,10:31,8.3,24.2,35,low,89.5,7.4,290,Y,Pfree
Z1,2018,6,21,20180621,Piermont,10:41,8.05,24.6,47,low,95.4,7.5,300,Y,Pfree
E2,2017,7,25,20170725,Piermont,9:40,4.2,24.9,35,high,89.4,7.3,547.5,Y,Pfree
E1,2017,7,25,20170725,Piermont,9:40,4.2,24.9,35,high,89.4,7.3,547.5,Y,Pfree
L1,2017,6,13,20170613,Piermont,9:59,1.6,23.1,NA,low,NA,NA,631,N,Pfree
P2,2017,12,4,20171204,Piermont,10:56,7.05,8.5,45,high,86.4,9.8,670,N,Total
H2,2017,6,13,20170613,Piermont,9:59,1.6,23.1,NA,low,NA,NA,540,N,Total
N2,2017,11,16,20171116,Piermont,10:41,7.46,11.5,40,high,87.7,9.1,670,Y,Total
J1,2018,3,8,20180308,Nyack,9:30,0.3,3.9,25,NA,100.7,13.3,175,NA,Total
R1,2017,7,5,20170705,Piermont,9:32,1.3,25.8,50,high,NA,NA,540,N,Total
F2,2017,8,7,20170807,Piermont,11:41,6.51,23.6,45,low,89.6,7.3,590,NA,Total
M1,2017,7,11,20170711,Piermont,10:34,4.4,25.3,NA,high,99.2,7.8,440,N,Total
O2,2018,6,21,20180621,Piermont,10:41,8.05,24.6,47,low,95.4,7.5,235,Y,Total
B2,2018,2,26,20180226,Piermont,11:02,0.85,3.7,38,low,98.4,13,135,NA,Pfree
B1,2018,2,26,20180226,Piermont,11:02,0.85,3.7,38,low,98.4,13,135,NA,Pfree
L2,2017,6,13,20170613,Piermont,9:59,1.6,23.1,NA,low,NA,NA,631,N,Pfree
P1,2017,12,4,20171204,Piermont,10:56,7.05,8.5,45,high,86.4,9.8,670,N,Total
J2,2018,3,8,20180308,Nyack,9:30,0.3,3.9,25,NA,100.7,13.3,175,NA,Total
N1,2017,11,16,20171116,Piermont,10:41,7.46,11.5,40,high,87.7,9.1,670,Y,Total
H1,2017,6,13,20170613,Piermont,9:59,1.6,23.1,NA,low,NA,NA,540,N,Total
F1,2017,8,7,20170807,Piermont,11:41,6.51,23.6,45,low,89.6,7.3,590,NA,Total
R2,2017,7,5,20170705,Piermont,9:32,1.3,25.8,50,high,NA,NA,540,N,Total
O1,2018,6,21,20180621,Piermont,10:41,8.05,24.6,47,low,95.4,7.5,235,Y,Total
M2,2017,7,11,20170711,Piermont,10:34,4.4,25.3,NA,high,99.2,7.8,440,N,Total
