#OTU ID,C1,W2,C2,S1,A1,K1,G2,I2,A2,Q2,V2,X2,U1,T1,Z2,Y2,W1,G1,K2,S2,I1,V1,Q1,X1,D1,U2,Y1,D2,T2,Z1,E2,E1,L1,P2,H2,N2,J1,R1,F2,M1,O2,B2,B1,L2,P1,J2,N1,H1,F1,R2,O1,M2
e39494332a51f284d0a5b18f77297277,15222,18891,10089,52,113,1755,1795,2098,93,1173,3433,0,18501,2057,3270,7147,18645,2187,1416,48,2546,3577,1430,0,4737,13464,7724,3402,2314,2573,17033,21474,133,0,122,36,28,1443,19458,3903,3023,0,0,111,0,38,50,162,16611,1428,3135,3059
d6c3280e0b453e32bb0f5848a8adf5ca,11297,8753,8457,73,2932,3741,3187,857,6345,3552,1478,3021,3566,5826,5671,3883,8989,3728,3473,69,910,1560,4064,2491,10406,2629,4197,7132,5290,4804,4856,6570,9092,1937,5127,98,15,1749,4125,6353,4333,8522,7229,7112,2360,22,76,5268,3368,1807,4077,5616
9404163724571a398aa4869436759308,7206,6119,5933,16,16,33,172,1598,26,77,3985,2621,3530,66,69,676,6696,249,29,8,1282,3266,46,2573,1967,2933,830,723,47,64,8742,9645,38,699,23,23,11,71,3127,541,74,1836,1561,32,1617,5,21,23,2026,58,66,498
028058ffc2ff7988449b2eda71d267db,7077,2987,5237,0,17,1375,1158,1139,27,870,2720,3660,3085,2779,3393,1767,3194,1379,1476,0,1434,2548,884,2975,3072,2539,1937,1667,2464,2706,6283,7550,105,2073,79,0,0,421,2118,1370,2071,2060,1655,96,2418,0,0,83,1823,514,1927,1222
f22ea8603e4c6e7ed0313dfb71acdb1b,5521,1010,4649,54,20,3103,5345,0,23,694,0,22,2274,3305,2428,4508,1126,5934,2569,51,0,0,483,22,2766,1992,4308,2316,2746,2594,1189,2326,153,17,89,65,45,4521,1215,1928,4247,19,16,173,16,55,53,105,1081,3896,3588,1820
b3f916eb895596b0aab5ce67c710cf3d,4586,3420,3310,22,37,383,2483,774,55,759,1160,2120,3413,697,904,2280,3720,3838,477,13,885,1023,757,1531,2307,2586,2773,1447,865,476,3609,5511,184,897,97,55,4,1451,3517,1686,718,934,736,162,912,21,37,105,2204,1663,802,1404
d806a7c6845f6c50f890e0b11fe652de,4406,47,3667,17,102,355,664,67,224,32,94,70,335,402,1316,1272,57,837,334,11,62,56,71,56,1809,369,1452,1149,380,859,689,818,200,17,245,11,13,396,50,1119,1958,18,19,205,76,3,8,205,76,407,2138,903
13239bfd601be5658be2653f6caf8aa3,4153,2440,3353,18,332,2760,1733,57,710,916,50,645,1066,3623,1740,1211,2861,2039,2798,22,15,56,1142,631,2672,795,1475,1569,3251,1389,1937,2644,1063,381,826,30,6,827,2141,1653,2421,640,557,833,572,20,35,817,1716,861,2421,1313
f762fc06a47ae561a60323d8bd6f405a,4091,1675,3241,8,235,810,1319,199,702,779,193,1303,441,1407,1065,1324,1698,1605,857,8,135,220,915,916,4032,441,1380,2174,1327,909,1006,1275,3777,530,2348,21,3,620,1855,2618,925,2426,1784,3885,870,4,20,2404,1444,645,1165,2322
f637ea7b3ef52b3415d209c09447f941,3630,3449,2740,19,8,1237,1016,603,38,481,787,332,2301,1932,2533,2588,3234,1512,1274,17,672,770,385,254,1490,1633,2644,1380,2298,1546,1659,3019,84,176,28,29,6,779,3260,1262,2265,37,27,76,248,6,24,35,2091,990,2473,1020
96714508a6fea480041ace7d01bf2048,3352,2584,2591,13,433,1086,3422,590,1091,895,967,2615,413,1523,1251,1442,2664,3881,1152,7,621,884,939,2176,5410,363,1562,3888,1345,878,709,864,2311,1733,1704,16,9,1963,2578,4271,1526,4457,3818,2373,2547,10,34,1599,1804,2087,1386,3517
ed59e9f608568c35f72e987ca3189dfc,2966,5304,2436,0,58,495,1544,419,148,770,836,6896,3907,661,769,1484,5672,1926,471,0,581,763,867,5130,1695,2918,1486,1088,714,514,3261,3274,246,3771,210,72,40,1161,4185,1569,791,1278,1129,197,3816,62,50,136,3018,1093,837,1411
6fd41b87609aa26d165c06c377fe1af2,2609,1501,2111,10,3,853,85,8,2,40,7,0,2124,936,1919,980,1460,91,1039,7,4,4,22,5,241,1593,1233,215,878,1382,2448,2947,4,3,7,10,0,48,2054,266,2485,4,2,11,0,3,3,6,1520,44,2369,224
83b10ccbf2734f44be635405d4afab78,2525,1287,1802,5,4,49,780,1057,3,26,1372,628,552,33,136,915,1258,799,54,3,1232,1214,37,413,651,379,885,413,23,110,533,689,0,413,3,10,5,502,1179,551,214,85,81,0,668,4,6,1,958,505,297,489
f1cc90a34338cd248d6cde6ff20f6a20,1981,378,1487,158,25,7,5733,66,95,427,80,4476,570,21,6,226,384,7220,12,153,26,59,362,3825,5351,536,263,2155,21,5,1374,1644,1609,1192,542,869,510,1516,240,1871,12,5051,3988,1679,3088,463,765,499,159,1787,19,1851
a133a24b4a69605f6866addd84018039,1870,771,1361,16,3,1313,256,153,6,148,242,89,965,2183,3071,861,800,352,1365,10,141,212,226,72,708,792,914,436,1830,2432,1384,1963,30,40,8,6,3,122,694,559,2693,2,9,25,119,4,11,12,581,140,2476,407
711cdee9b83a816ef327fea01338957c,1765,597,1445,5,17,47,2695,28,20,750,33,50,548,58,64,1043,594,3006,50,8,42,33,782,28,2140,392,1114,1465,64,46,678,925,119,19,49,14,6,1852,529,2054,43,16,9,103,66,2,11,57,387,1852,63,1712
6ea794aa47071a501015fbad65dd1575,1594,151,1333,0,12,214,39,37,23,73,71,61,240,554,1455,438,131,44,294,2,29,61,44,60,632,91,444,301,484,987,391,595,209,15,133,3,0,8,87,211,737,98,96,237,36,0,7,99,67,13,696,162
84a79b9e6548f9624d2d758e5030b18a,1461,2112,1204,5,3,6,8,0,4,1,0,0,908,1,0,303,2161,12,3,5,0,0,4,0,335,781,329,158,3,6,1658,1846,0,0,4,0,3,0,1266,131,6,285,291,0,0,4,0,3,978,0,2,115
c7afbd062dae23491d83984fe4386c9c,1434,204,1009,323,468,3255,326,166,1124,563,133,308,431,5420,3853,661,211,449,3205,361,127,178,704,291,1325,356,769,1090,5740,3197,414,666,1006,203,694,881,54,199,178,1268,4351,1249,1048,925,202,61,707,774,159,204,4278,1021
6f1ef5652fec7baf3341adf218299edb,1394,898,1127,16,76,721,1728,119,130,1359,177,176,1387,1123,1054,689,882,1885,787,6,88,143,1485,178,1358,1040,771,1027,1039,798,1251,2011,383,242,186,8,15,1388,698,1236,1313,19,13,281,325,5,9,164,619,1341,1220,1031
98b4799119283d1389a0151e222832cd,1229,586,1009,62,13,14843,2593,668,38,363,728,87,622,11743,4424,1103,534,2685,13338,46,643,713,296,33,581,759,1051,406,9407,4915,449,881,341,85,96,83,51,1825,699,221,8970,27,15,264,48,93,122,144,680,1643,7683,89
f4abd32ff2c89cbbf103dd8a13d63d7c,1203,91,890,3,2,76,686,7,2,15,0,0,256,50,171,530,137,836,64,4,0,0,38,6,440,241,589,225,47,82,246,318,8,3,5,2,0,579,149,441,286,0,0,0,0,0,4,5,116,603,250,285
91247b8e53a048da3d777777284d8dad,900,182,761,78,13,7010,4085,2037,35,685,2841,156,432,5231,6511,773,167,4574,6477,72,2194,2971,618,131,878,323,759,713,4335,7006,220,319,237,202,91,60,53,5325,246,805,11900,41,41,164,152,27,89,140,278,4756,10120,747
fbbc649b1c6ec671b3ad2248ffc21563,866,50,796,20,308,2900,1003,54,717,6298,8,264,927,1684,1248,1475,46,1204,3058,18,14,10,6828,209,362,752,1521,447,1417,1170,185,379,1359,315,837,6,13,2309,140,1420,2949,55,72,1487,230,14,10,931,139,2256,2737,1207
e9152853e1d8630f9e0a26870da742a9,831,279,639,0,0,0,0,20,0,0,45,113,112,0,0,476,313,0,0,0,31,44,0,104,214,99,443,196,0,0,115,159,0,31,0,5,0,0,216,104,0,0,0,0,50,0,0,0,177,0,0,102
5fbd67cda1e78321177bd4c3762d720f,817,189,705,0,0,0,6,109,0,14,152,81,1127,0,0,273,181,2,0,0,115,141,11,59,75,722,292,56,0,0,1590,1890,0,29,0,2,0,2,178,43,0,88,88,3,108,0,0,4,118,3,0,48
ec884156bfdaa8333e0a800b35a71d54,796,344,520,7,6,996,137,37,46,366,52,93,566,1825,802,198,378,113,923,7,19,48,323,101,356,571,191,272,1701,799,676,888,117,63,28,4,0,56,220,143,990,47,31,85,31,2,0,34,187,52,974,145
e66893ec9c61f9999656e619c08ae986,781,158,677,6,0,447,19,24,2,793,23,43,15,391,372,344,155,24,495,7,20,16,899,40,168,16,372,105,326,219,44,39,157,22,124,5,0,24,238,135,1012,6,6,161,65,0,3,120,187,22,1029,128
b9dc48f4d98a8df739a779de4f256941,769,10,558,567,449,6,4083,53,1295,1983,8,2929,273,20,2,269,67,5023,4,598,7,5,2144,2475,2321,216,338,1471,5,0,583,593,3260,1282,1930,1561,904,2361,37,1491,0,6549,5363,2737,1962,837,1447,1852,111,2382,0,1221
