Feature ID,Taxon,Confidence
e39494332a51f284d0a5b18f77297277,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Sporichthyaceae;D_5__hgcI clade,0.999991696
d6c3280e0b453e32bb0f5848a8adf5ca,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__RS62 marine group;D_6__uncultured bacterium,0.935963181
9404163724571a398aa4869436759308,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade III,1
028058ffc2ff7988449b2eda71d267db,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Methylophilaceae;D_5__OM43 clade,0.973532145
f22ea8603e4c6e7ed0313dfb71acdb1b,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Cyanobium PCC-6307;D_6__uncultured cyanobacterium,0.935793404
b3f916eb895596b0aab5ce67c710cf3d,D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Ilumatobacteraceae;D_5__CL500-29 marine group,0.999999998
d806a7c6845f6c50f890e0b11fe652de,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae;D_5__Fluviicola;D_6__uncultured Flexibacter sp.,0.921190215
13239bfd601be5658be2653f6caf8aa3,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Cyclobacteriaceae;D_5__Algoriphagus;D_6__uncultured Hongiella sp.,0.779405651
f762fc06a47ae561a60323d8bd6f405a,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS3a marine group;D_6__marine metagenome,0.742575024
f637ea7b3ef52b3415d209c09447f941,D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Ilumatobacteraceae;D_5__CL500-29 marine group;D_6__uncultured bacterium,0.999397112
96714508a6fea480041ace7d01bf2048,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Cryomorphaceae;D_5__uncultured;D_6__uncultured bacterium,0.949243875
ed59e9f608568c35f72e987ca3189dfc,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Sporichthyaceae;D_5__hgcI clade,0.999952527
6fd41b87609aa26d165c06c377fe1af2,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Terrimonas,0.998041996
83b10ccbf2734f44be635405d4afab78,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__NS11-12 marine group;D_5__uncultured marine bacterium;D_6__uncultured marine bacterium,0.99814135
