SampleID,Year,Month,Day,YYYYMMDD,Location,Time,Salinity,Temperature,SecchiDepth,Tide,O2_%,O2_mgL,Vol_Filtered,Rain_3d_prior,Size_fraction
A,2017,6,6,20170606,Piermont,10:44,2.5,18,35,NA,92.8,8.6,782,Y,Total
B,2018,2,26,20180226,Piermont,11:02,0.85,3.7,38,low,98.4,13,135,NA,Pfree
C,2017,7,18,20170718,Piermont,9:30,4.2,26.7,58,low,92.9,7.2,536,NA,Pfree
D,2017,7,11,20170711,Piermont,10:34,4.4,25.3,NA,high,99.2,7.8,421.6,N,Pfree
E,2017,7,25,20170725,Piermont,9:40,4.2,24.9,35,high,89.4,7.3,547.5,Y,Pfree
F,2017,8,7,20170807,Piermont,11:41,6.51,23.6,45,low,89.6,7.3,590,NA,Total
G,2017,7,5,20170705,Piermont,9:32,1.3,25.8,50,high,NA,NA,507.19,N,Pfree
H,2017,6,13,20170613,Piermont,9:59,1.6,23.1,NA,low,NA,NA,540,N,Total
I,2017,10,11,20171011,Piermont,10:45,9.67,22,54,low,82.4,6.9,600,N,Total
J,2018,3,8,20180308,Nyack,9:30,0.3,3.9,25,NA,100.7,13.3,175,NA,Total
K,2018,6,19,20180619,Piermont,10:31,8.3,24.2,35,low,89.5,7.4,460,Y,Total
L,2017,6,13,20170613,Piermont,9:59,1.6,23.1,NA,low,NA,NA,631,N,Pfree
M,2017,7,11,20170711,Piermont,10:34,4.4,25.3,NA,high,99.2,7.8,440,N,Total
N,2017,11,16,20171116,Piermont,10:41,7.46,11.5,40,high,87.7,9.1,670,Y,Total
O,2018,6,21,20180621,Piermont,10:41,8.05,24.6,47,low,95.4,7.5,235,Y,Total
P,2017,12,4,20171204,Piermont,10:56,7.05,8.5,45,high,86.4,9.8,670,N,Total
Q,2017,6,27,20170627,Piermont,9:59,2.3,23.6,NA,low,NA,NA,900,N,Total
R,2017,7,5,20170705,Piermont,9:32,1.3,25.8,50,high,NA,NA,540,N,Total
S,2018,2,26,20180226,Piermont,11:02,0.85,3.7,38,low,98.4,13,320,NA,Total
T,2018,6,19,20180619,Piermont,10:31,8.3,24.2,35,low,89.5,7.4,290,Y,Pfree
U,2017,7,25,20170725,Piermont,9:40,4.2,24.9,35,high,89.4,7.3,820,Y,Total
V,2017,10,11,20171011,Piermont,10:45,9.67,22,54,low,82.4,6.9,155,N,Pfree
W,2017,8,7,20170807,Piermont,11:41,6.51,23.6,45,low,89.6,7.3,563,NA,Pfree
X,2017,11,16,20171116,Piermont,10:41,7.46,11.5,40,high,87.7,9.1,400,Y,Pfree
Y,2017,7,18,20170718,Piermont,9:30,4.2,26.7,58,low,92.9,7.2,580,NA,Total
Z,2018,6,21,20180621,Piermont,10:41,8.05,24.6,47,low,95.4,7.5,300,Y,Pfree
